date,open,high,low,close,volume
2010-04-20,44.7,44.7,43.95,44.0397,1938
2010-04-21,43.8,44.1,43.23,43.3497,2871
2010-04-22,43.17,43.17,42.522,43.11,3585
2010-04-23,42.96,43.26,42.75,43.26,1083
2010-04-26,44.88,44.88,43.2,43.92,3591
2010-04-27,43.05,43.2,41.73,41.73,6732
2010-04-28,42.24,42.24,41.31,41.82,5118
2010-04-29,42.18,42.18,41.85,41.85,18114
2010-05-03,40.35,40.95,39.93,40.26,1605
2010-05-04,39.51,39.51,37.3203,37.68,3609
2010-05-05,36.0003,37.44,35.79,36.9903,2064
2010-05-06,36.84,36.9528,34.08,35.208,1935
2010-05-07,35.97,35.97,34.5,35.142,2799
2010-05-10,38.01,38.16,37.8,38.04,2499
2010-05-11,37.71,37.92,37.5,37.5,1743
2010-05-12,38.01,38.01,37.53,37.86,32703
2010-05-13,38.58,38.76,38.07,38.13,2595
2010-05-14,37.35,37.35,36.15,36.63,3945
2010-05-17,37.08,37.08,34.14,35.1,2307
2010-05-18,35.97,35.97,34.2303,34.2303,3483
2010-05-19,33.3,33.42,32.2635,33.0903,765
2010-05-20,32.4,32.4,30.93,31.32,2319
2010-05-21,32.64,33.288,32.64,33.21,1392
2010-05-24,33.57,33.63,33.09,33.09,1053
2010-05-25,31.35,32.64,31.11,32.64,5250
2010-05-26,33.915,34.05,33.72,33.75,948
2010-05-27,34.98,36.03,34.98,36.03,2409
2010-05-28,35.55,35.55,34.98,35.25,1587
2010-06-01,33,34.9338,33,34.71,732
2010-06-02,34.68,35.22,34.68,35.22,681
2010-06-03,35.97,35.97,34.2,34.62,8568
2010-06-04,33.6,33.6,32.4297,32.5197,2115
2010-06-07,33.57,33.57,31.284,31.38,8727
2010-06-08,31.8,32.205,31.4754,32.205,1941
2010-06-09,33.27,33.33,32.37,32.37,8628
2010-06-10,33.5814,34.38,33.5814,34.2357,1803
2010-06-11,34.62,34.62,34.08,34.2,3420
2010-06-14,35.67,35.76,35.28,35.4,792
2010-06-15,35.82,35.85,35.28,35.85,4074
2010-06-16,35.55,36.048,35.34,35.9397,3759
2010-06-17,35.55,35.8197,35.31,35.31,1365
2010-06-18,37.08,37.08,33.57,35.58,1641
2010-06-21,37.5,37.5,36.18,36.18,4671
2010-06-22,35.88,36.21,35.25,35.25,1365
2010-06-23,36.84,36.84,34.5,35.04,3654
2010-06-25,35.04,35.04,34.05,34.35,1266
2010-06-28,34.38,34.3803,34.2,34.2,171
2010-06-29,33.66,33.66,32.04,32.0997,4356
2010-06-30,32.1,32.13,31.17,31.17,1215
2010-07-01,31.05,31.23,30,31.158,9477
2010-07-02,31.53,31.53,31.3497,31.5261,1398
2010-07-06,31.77,32.4597,31.77,31.83,1422
