date,open,high,low,close,volume
2011-11-15,25.1,25.18,25.1,25.18,200
2011-11-16,24.75,25.19,24.75,25.19,1000
2011-11-18,24.43,24.43,24.43,24.43,221
2011-11-21,26.96,26.96,23.68,23.689,1200
2011-11-23,23.31,23.5,23.31,23.5,1000
2011-11-28,24.17,27.04,24.11,24.13,4000
2011-11-29,24.11,24.25,24.11,24.25,7500
2011-12-05,25.89,25.97,25.3292,25.3292,4600
2011-12-06,25.4,25.4,25.4,25.4,100
2011-12-07,25.29,25.29,25.29,25.29,401
2011-12-08,25.25,25.25,25.25,25.25,100
2011-12-09,25.23,25.56,25.23,25.48,893
2011-12-13,24.59,24.59,24.2,24.2,900
2011-12-14,23.9,23.9,23.2745,23.396,4610
2011-12-15,23.4,23.4,23.4,23.4,500
2011-12-16,23.77,23.87,23.77,23.87,1435
2011-12-19,23.68,23.68,23.4008,23.4008,870
2011-12-20,24.05,24.0799,23.99,24.0799,2100
2011-12-21,24.12,24.13,24.12,24.13,400
2011-12-22,24.25,24.43,24.25,24.38,1000
2011-12-23,24.88,24.88,24.7399,24.7399,2750
2011-12-27,24.3588,24.3588,24.3588,24.3588,404
2011-12-29,23.962,23.9901,23.962,23.9901,2144
2011-12-30,24.4932,24.5,24.4932,24.5,300
2012-01-03,24.95,25.182,24.95,25.16,820
2012-01-04,24.57,24.57,24.4,24.4,800
2012-01-05,24.35,24.35,24.35,24.35,100
2012-01-06,24.42,24.42,24.42,24.42,500
2012-01-11,25.1,25.22,25.1,25.22,1000
2012-01-13,25.87,25.87,25.5299,25.5299,300
2012-01-19,26.8,27.137,26.8,27.032,847
2012-01-20,26.97,26.97,26.647,26.647,200
2012-01-23,27.05,27.12,26.98,27.12,8855
2012-01-24,26.77,27.06,26.77,27.0599,747
2012-01-25,27.1,27.3599,27.1,27.26,8375
2012-01-26,27.69,27.74,27.6,27.6,6750
2012-01-27,27.65,27.7099,27.6135,27.7,3300
2012-01-30,27.1892,27.1892,27.1892,27.1892,100
2012-01-31,27.41,27.4101,27.09,27.2,3750
2012-02-01,27.1965,27.3,27.1965,27.3,500
2012-02-02,26.98,26.98,26.79,26.8162,402
2012-02-03,27.2,27.7599,27.2,27.7599,3222
2012-02-07,27.31,27.57,27.2,27.552,1910
2012-02-08,27.9,27.94,27.7099,27.72,1771
2012-02-09,28.2,28.25,28.2,28.2199,1200
2012-02-10,27.5472,27.5472,27.3499,27.3499,992
2012-02-13,27.2,27.2,27.02,27.178,400
2012-02-14,27.18,27.18,27.18,27.18,375
2012-02-17,26.91,26.91,26.46,26.46,900
2012-02-21,27.2108,27.31,27.2108,27.31,545
2012-02-22,27.1336,27.26,27.1336,27.26,393
