date,open,high,low,close,volume
2006-01-03,67.21,68.15,66.05,68.05,40428100
2006-01-04,68.11,68.65,67.88,68.42,29795200
2006-01-05,68.43,68.79,68.25,68.79,23712300
2006-01-06,69.12,69.65,68.68,69.61,26874100
2006-01-09,69.61,70.38,69.57,70.07,22285700
2006-01-10,69.73,70.7,69.68,70.7,27130700
2006-01-11,70.71,70.73,70.04,70.58,29588700
2006-01-12,70.45,70.74,70.05,70.33,24564000
2006-01-13,70.27,70.47,70.02,70.36,20630300
2006-01-17,69.98,70.05,69.54,70.03,26979900
2006-01-18,69.39,70,69.3,69.88,30545300
2006-01-19,70.05,71.17,69.94,71,26801500
2006-01-20,71.03,71.12,69.83,70.19,43301200
2006-01-23,70.25,70.56,69.99,70.41,30482700
2006-01-24,70.45,71.43,70.44,71.2,36770600
2006-01-25,71.39,71.6,70.77,71.38,32586600
2006-01-26,71.62,72.45,71.41,72.41,38990300
2006-01-27,72.54,73.24,72.26,72.77,29044200
2006-01-30,72.7,72.98,72.47,72.56,28170300
2006-01-31,72.48,72.96,72.13,72.35,38124600
2006-02-01,72.59,73.21,72.47,73.1,35011400
2006-02-02,73,73.09,71.66,72,46751000
2006-02-03,71.81,72.49,71.51,71.78,42793600
2006-02-06,71.9,72.45,71.52,72.42,24741300
2006-02-07,72.27,72.59,71.15,71.25,41861300
2006-02-08,71.44,71.84,70.88,71.7,36002600
2006-02-09,71.78,72.34,71.24,71.33,33152400
2006-02-10,71.18,71.43,70.37,71.18,31342400
2006-02-13,71.04,71.15,70.35,70.71,29784500
2006-02-14,70.8,71.78,70.31,71.53,46124800
2006-02-15,71.51,72.16,71.18,72.16,40853100
2006-02-16,72.37,72.83,72.12,72.8,30261700
2006-02-17,72.83,72.9,72.3,72.65,17558400
2006-02-21,72.75,72.93,71.85,72.33,21177400
2006-02-22,72.47,73.01,71.98,72.82,28699200
2006-02-23,72.75,73.27,72.38,72.77,38795900
2006-02-24,72.69,73.35,72.45,73.35,22995700
2006-02-27,73.41,73.88,73.32,73.55,20584000
2006-02-28,73.38,73.47,72.44,72.58,36395700
2006-03-01,72.77,73.9,72.62,73.9,26244900
2006-03-02,73.66,73.89,73.09,73.59,36546000
2006-03-03,73.21,74.14,73.15,73.22,38377600
2006-03-06,73.4,73.46,72.44,72.65,29340300
2006-03-07,72.35,72.4,71.44,71.6,38899700
2006-03-08,71.45,72,70.88,71.85,51662600
2006-03-09,71.87,72.39,71.22,71.22,31106800
2006-03-10,71.4,72.35,70.98,72.32,40266300
2006-03-13,72.6,73.08,72.2,72.47,35127000
2006-03-14,72.28,73.27,72.01,73.27,37978800
2006-03-15,73.3,73.95,73.04,73.94,31951400
2006-03-16,74.2,74.5,73.77,73.77,32559900
