date,open,high,low,close,volume
2006-01-03,40.65,41.49,40.16,41.31,109350400
2006-01-04,41.41,41.74,41.32,41.74,92769400
2006-01-05,41.75,42,41.71,41.92,77656896
2006-01-06,42.26,42.7,42.06,42.68,110053904
2006-01-09,42.68,42.92,42.52,42.85,80768800
2006-01-10,42.66,42.92,42.55,42.88,84369400
2006-01-11,43,43.31,42.87,43.21,100761400
2006-01-12,43.16,43.29,42.85,43,82429200
2006-01-13,42.97,43.05,42.73,42.98,64572100
2006-01-17,42.65,42.79,42.5,42.7,77962096
2006-01-18,42.03,42.46,42.02,42.21,121021904
2006-01-19,42.42,42.82,42.29,42.52,111094000
2006-01-20,42.46,42.49,41.15,41.25,188569410
2006-01-23,41.36,41.45,41.08,41.26,111381904
2006-01-24,41.36,41.7,41.31,41.44,77956896
2006-01-25,41.64,41.67,41.08,41.26,99826400
2006-01-26,41.5,41.69,41.23,41.55,112600600
2006-01-27,41.8,42.39,41.74,42.11,110830400
2006-01-30,42.18,42.32,42.07,42.19,53942600
2006-01-31,42.17,42.27,41.81,42,100988096
2006-02-01,41.74,42.17,41.7,42.15,89168704
2006-02-02,42.01,42.08,41.41,41.43,94047400
2006-02-03,41.12,41.23,40.78,40.92,121094200
2006-02-06,40.72,41.01,40.59,40.81,58162800
2006-02-07,40.74,40.93,40.44,40.63,87327000
2006-02-08,40.92,41.15,40.69,41.1,89907800
2006-02-09,41.21,41.37,40.63,40.71,78213400
2006-02-10,40.68,41.06,40.26,40.96,102575904
2006-02-13,40.7,40.74,40.3,40.49,70643104
2006-02-14,40.57,41.02,40.41,40.9,94340304
2006-02-15,40.79,41.26,40.73,41.16,92254304
2006-02-16,41.31,41.55,41.15,41.54,103859600
2006-02-17,41.46,41.46,41.2,41.21,81770200
2006-02-21,41.21,41.27,40.61,40.75,85101400
2006-02-22,40.78,41.54,40.68,41.26,91983904
2006-02-23,41.19,41.54,41.08,41.15,66517100
2006-02-24,41.19,41.29,41.01,41.26,57085400
2006-02-27,41.36,41.87,41.33,41.72,64945000
2006-02-28,41.61,41.72,40.97,41.1,117564600
2006-03-01,41.23,41.77,41.15,41.66,80962304
2006-03-02,41.57,41.84,41.41,41.69,69856496
2006-03-03,41.45,42.01,41.39,41.45,112066096
2006-03-06,41.54,41.63,40.96,41.09,99581000
2006-03-07,41.02,41.07,40.65,40.85,96441104
2006-03-08,40.76,41.09,40.5,40.87,103961904
2006-03-09,41,41.15,40.47,40.52,108556704
2006-03-10,40.48,40.79,40.19,40.56,124474896
2006-03-13,40.74,40.94,40.62,40.68,69169104
2006-03-14,40.64,41.42,40.64,41.37,118201000
2006-03-15,41.53,41.72,41.32,41.72,84375800
2006-03-16,41.85,41.92,41.33,41.37,101371200
2006-03-17,41.34,41.59,41.23,41.45,78219600
2006-03-20,41.58,41.68,41.4,41.55,60240100
2006-03-21,41.5,42.01,41.08,41.11,135298900
2006-03-22,40.88,41.28,40.86,41.21,112282800
2006-03-23,41.09,41.22,40.82,41.09,75158200
2006-03-24,41.23,41.5,41.02,41.3,81795504
2006-03-27,41.28,41.51,41.24,41.31,54400400
2006-03-28,41.39,41.67,40.99,41.14,100522800
2006-03-29,41.2,42.1,41.17,41.92,130669104
2006-03-30,42.01,42.3,41.79,42.05,115915600
2006-03-31,42.13,42.19,41.84,41.93,71074600
2006-04-03,42.15,42.37,41.9,41.98,80730704
2006-04-04,42.05,42.31,41.93,42.21,89952600
2006-04-05,42.3,42.67,42.21,42.61,91628200
2006-04-06,42.59,42.94,42.44,42.73,91712800
2006-04-07,42.88,43.05,42.3,42.32,116604304
2006-04-10,42.4,42.5,42.09,42.26,58981900
