date,open,high,low,close,volume
2006-01-03,41.77,42.195,41.3625,42.195,696400
2006-01-04,42.1425,42.4725,42.14,42.4375,538400
2006-01-05,42.3875,42.5425,42.3225,42.4375,1370800
2006-01-06,42.8,42.93,42.5275,42.855,505200
2006-01-09,42.9475,43.1675,42.8875,43.1475,624800
2006-01-10,42.975,43.1575,42.875,43.1575,297200
2006-01-11,43.2175,43.275,43.0925,43.25,351600
2006-01-12,43.25,43.25,42.9625,42.99,450400
2006-01-13,43.025,43.08,42.8925,43.03,194400
2006-01-17,42.9125,42.9125,42.7,42.82,274800
2006-01-18,42.65,42.895,42.6075,42.78,510400
2006-01-19,42.95,43.2125,42.895,43.12,509200
2006-01-20,43.175,43.175,42.41,42.4375,644000
2006-01-23,42.575,42.6825,42.455,42.55,304400
2006-01-24,42.725,42.9375,42.6775,42.8125,269600
2006-01-25,42.9725,42.975,42.5875,42.825,321200
2006-01-26,43.0725,43.1325,42.915,43.1325,478400
2006-01-27,43.245,43.535,43.1375,43.39,897200
2006-01-30,43.4475,43.5125,43.375,43.415,209200
2006-01-31,43.32,43.4025,43.125,43.1525,290800
2006-02-01,43.245,43.3475,43.1225,43.345,407200
2006-02-02,43.325,43.325,42.84,42.9675,832400
2006-02-03,42.75,42.9375,42.595,42.645,604000
2006-02-06,42.8275,42.895,42.69,42.88,203200
2006-02-07,42.7975,42.86,42.4325,42.5175,1179200
2006-02-08,42.56,42.8025,42.4625,42.7775,309200
2006-02-09,42.8675,43.05,42.665,42.7175,248800
2006-02-10,42.685,42.845,42.415,42.735,495600
2006-02-13,42.7,42.7025,42.475,42.6,551600
2006-02-14,42.615,43.1,42.49,42.99,309200
2006-02-15,43.025,43.23,42.91,43.23,414400
2006-02-16,43.3325,43.5375,43.25,43.5375,300400
2006-02-17,43.4625,43.6225,43.455,43.5,327200
2006-02-21,43.6225,43.685,43.31,43.3775,249600
2006-02-22,43.4,43.7825,43.4,43.6575,341200
2006-02-23,43.66,43.8175,43.5425,43.615,368000
2006-02-24,43.6,43.7175,43.4875,43.66,241600
2006-02-27,43.775,43.9075,43.7275,43.8275,341200
2006-02-28,43.645,43.6625,43.2325,43.2975,638400
2006-03-01,43.4625,43.755,43.365,43.715,662000
2006-03-02,43.605,43.715,43.455,43.7,258000
2006-03-03,43.51,43.9025,43.475,43.59,456400
2006-03-06,43.575,43.575,43.105,43.1725,331200
2006-03-07,43.025,43.1,42.835,43.01,275200
2006-03-08,42.8125,43.1275,42.695,43.0225,1773200
2006-03-09,43.1675,43.3025,42.8875,42.925,1158400
2006-03-10,42.9,43.3275,42.875,43.275,420800
2006-03-13,43.3825,43.515,43.3125,43.375,279600
2006-03-14,43.35,43.8825,43.35,43.85,312400
2006-03-15,43.97,44.1925,43.85,44.1425,379200
2006-03-16,44.255,44.455,44.19,44.2975,403600
2006-03-17,44.325,44.3325,44.1575,44.275,596000
2006-03-20,44.35,44.35,44.07,44.1275,180800
2006-03-21,44.0625,44.3225,43.7775,43.7775,202000
2006-03-22,43.835,44.1125,43.7875,44.0675,235600
2006-03-23,44.0475,44.085,43.88,44.085,238400
2006-03-24,44.0575,44.205,43.9325,44.135,135200
2006-03-27,44.055,44.1475,44,44.11,149200
2006-03-28,44.075,44.2425,43.82,43.8975,224800
2006-03-29,44.0075,44.35,43.92,44.2875,246800
2006-03-30,44.375,44.5375,44.075,44.1175,264000
2006-03-31,44.25,44.25,43.9775,44.1,284400
2006-04-03,44.175,44.4475,44,44.06,297200
2006-04-04,44.0575,44.3625,43.9125,44.3,222800
2006-04-05,44.435,44.5925,44.29,44.4825,258800
2006-04-06,44.5,44.5525,44.28,44.4975,172000
2006-04-07,44.55,44.67,44.02,44.0925,270400
2006-04-10,44.1,44.155,43.89,44.0675,125200
2006-04-11,44.02,44.0725,43.4625,43.55,243200
2006-04-12,43.655,43.7475,43.525,43.6625,269200
2006-04-13,43.6025,43.795,43.46,43.7525,336000
2006-04-17,43.8175,43.845,43.4425,43.6225,208000
2006-04-18,43.67,44.4875,43.67,44.4425,169200
2006-04-19,44.5925,44.6475,44.345,44.6475,174800
2006-04-20,44.6125,44.865,44.44,44.635,383600
2006-04-21,44.855,44.855,44.4225,44.525,240800
2006-04-24,44.4275,44.5275,44.2825,44.4925,120000
2006-04-25,44.525,44.5625,44.2,44.315,373600
2006-04-26,44.5225,44.6075,44.305,44.43,322800
2006-04-27,44.08,44.69,44.02,44.44,576700
2006-04-28,44.44,44.64,44.39,44.48,216600
2006-05-01,44.6,44.7,44.23,44.25,312800
2006-05-02,44.49,44.56,44.29,44.51,251100
2006-05-03,44.51,44.56,44.3,44.41,412200
2006-05-04,44.63,44.72,44.55,44.62,307700
2006-05-05,44.92,45.14,44.84,45.08,258200
2006-05-08,45.15,45.21,45.08,45.14,337300
2006-05-09,45.13,45.14,45.02,45.12,277000
2006-05-10,45.07,45.19,44.9,45.09,281800
2006-05-11,44.97,44.97,44.4,44.42,400600
2006-05-12,44.2,44.4,43.9,43.9,718300
2006-05-15,43.71,43.98,43.56,43.91,509600
2006-05-16,44.07,44.07,43.61,43.7,296900
2006-05-17,43.55,43.65,42.95,43.01,602700
2006-05-18,43.32,43.32,42.73,42.74,1699300
2006-05-19,42.8,43.2,42.55,43.02,540800
2006-05-22,42.7,42.99,42.4,42.75,359700
2006-05-23,43.1,43.21,42.5,42.5,212000
2006-05-24,42.25,42.85,42.03,42.62,301200
2006-05-25,42.93,43.08,42.75,43.08,405100
2006-05-26,43.27,43.4,43.1,43.37,889400
2006-05-30,43.29,43.29,42.62,42.62,187900
2006-05-31,42.94,43.17,42.8,43.16,177400
2006-06-01,43.21,43.71,43.16,43.66,363200
2006-06-02,43.92,43.92,43.47,43.71,366700
2006-06-05,43.52,43.6,42.87,42.99,237000
2006-06-06,42.9,42.9,42.47,42.73,358400
2006-06-07,42.83,43.08,42.48,42.48,298600
2006-06-08,42.32,42.62,41.5,42.43,569500
2006-06-09,42.67,42.8,42.35,42.42,940600
2006-06-12,42.43,42.5,41.73,41.74,421800
2006-06-13,41.6,42.01,41.21,41.26,713600
2006-06-14,41.05,41.58,41.01,41.46,631900
2006-06-15,41.7,42.59,41.57,42.52,231000
2006-06-16,42.38,42.39,42,42,162200
2006-06-19,42.37,42.37,41.7,41.7,198000
2006-06-20,41.85,42.03,41.66,41.69,109500
2006-06-21,41.86,42.4,41.82,42.2,237500
2006-06-22,42.08,42.14,41.81,41.94,84900
2006-06-23,41.92,42.29,41.88,42.05,239300
2006-06-26,42.08,42.21,41.98,42.2,118600
2006-06-27,42.24,42.25,41.69,41.79,185100
2006-06-28,41.9,41.93,41.59,41.9,103700
2006-06-29,42.16,42.95,42.1,42.95,390900
2006-06-30,43.1,43.1,42.81,42.91,1070600
2006-07-03,43.2,43.2,42.94,43.2,326600
2006-07-05,42.8,42.91,42.58,42.77,268800
2006-07-06,42.95,42.98,42.66,42.78,1035600
2006-07-07,42.72,42.82,42.36,42.53,335000
2006-07-10,42.63,42.73,42.35,42.44,219300
2006-07-11,42.43,42.68,42.17,42.66,300400
2006-07-12,42.69,42.71,42.1,42.28,282200
2006-07-13,41.9,42.04,41.52,41.58,308900
2006-07-14,41.4,41.48,40.94,41.22,858600
2006-07-17,41.14,41.44,41.08,41.19,274100
2006-07-18,41.41,41.42,40.76,41.18,384700
2006-07-19,41.32,42.06,41.32,41.9,279500
2006-07-20,42.15,42.15,41.46,41.47,515300
2006-07-21,41.5,41.5,40.97,41.02,1344700
2006-07-24,41.18,41.8,41.18,41.76,289600
2006-07-25,41.8,42.2,41.65,41.97,263000
2006-07-26,42.05,42.22,41.82,42.1,206600
2006-07-27,42.4,42.4,41.7,41.85,383600
2006-07-28,41.8,42.35,41.8,42.28,2793600
2006-07-31,42.2,42.34,42.11,42.34,1982800
2006-08-01,42.05,42.08,41.84,42.07,1930100
2006-08-02,42.14,42.49,42.14,42.31,271200
2006-08-03,42.01,42.62,42.01,42.52,442000
2006-08-04,42.87,43.04,42.28,42.43,155900
2006-08-07,42.4,42.45,42.23,42.3,278900
2006-08-08,42.35,42.61,42.05,42.11,398700
2006-08-09,42.52,42.52,41.8,41.81,274800
2006-08-10,41.72,42.17,41.72,42.09,270400
2006-08-11,41.96,42.09,41.79,41.87,83400
2006-08-14,42.08,42.38,41.94,41.97,235300
2006-08-15,42.32,42.69,42.3,42.63,126200
2006-08-16,42.77,43.2,42.77,43.12,280200
2006-08-17,43.06,43.42,43.03,43.29,357000
2006-08-18,43.34,43.37,43.07,43.33,164600
2006-08-21,43.1,43.19,43.02,43.13,100500
2006-08-22,43.1,43.3,43.01,43.17,304500
2006-08-23,43.18,43.25,42.78,42.9,211100
2006-08-24,42.9,43.05,42.75,42.82,90600
2006-08-25,42.84,43.01,42.8,42.87,95800
2006-08-28,42.87,43.28,42.86,43.16,108000
2006-08-29,43.24,43.39,42.98,43.36,450700
2006-08-30,43.35,43.46,43.31,43.43,180800
2006-08-31,43.35,43.54,43.35,43.5,348700
2006-09-01,43.55,43.74,43.5,43.68,173500
2006-09-05,43.69,43.8,43.62,43.75,241600
2006-09-06,43.48,43.54,43.24,43.24,180800
2006-09-07,43.05,43.36,42.96,43.04,329300
2006-09-08,43.2,43.36,43.1,43.32,87700
2006-09-11,43.08,43.51,43.03,43.38,378600
2006-09-12,43.38,43.99,43.38,43.97,465600
2006-09-13,43.97,44.25,43.94,44.18,161100
2006-09-14,44.1,44.18,43.96,44.08,213700
2006-09-15,44.33,44.33,44.03,44.13,337300
2006-09-18,44.15,44.28,44.04,44.21,278700
2006-09-19,44.11,44.15,43.77,44.03,311800
2006-09-20,44.26,44.37,44.14,44.25,275000
2006-09-21,44.33,44.36,43.85,43.93,378300
2006-09-22,43.98,43.98,43.66,43.83,479900
2006-09-25,43.85,44.32,43.67,44.25,321700
2006-09-26,44.09,44.54,44.09,44.54,164900
2006-09-27,44.44,44.65,44.42,44.55,194900
2006-09-28,44.58,44.65,44.37,44.59,272700
2006-09-29,44.6,44.65,44.42,44.42,208600
2006-10-02,44.5,44.58,44.24,44.36,165600
2006-10-03,44.3,44.48,44.08,44.25,242000
2006-10-04,44.24,44.9,44.2,44.85,192300
2006-10-05,44.96,45.12,44.82,45.09,240600
2006-10-06,45,45,44.75,44.95,303400
2006-10-09,44.85,45.14,44.81,45.03,217400
2006-10-10,45.07,45.23,45.02,45.14,223100
2006-10-11,44.98,45.23,44.86,45.09,585300
2006-10-12,45.16,45.57,45.16,45.54,232800
2006-10-13,45.52,45.71,45.43,45.64,226800
2006-10-16,45.69,45.92,45.67,45.81,275200
2006-10-17,45.75,45.75,45.4,45.66,328000
2006-10-18,45.98,45.98,45.47,45.64,219100
2006-10-19,45.58,45.7,45.5,45.7,231200
2006-10-20,45.74,45.74,45.4,45.51,128900
2006-10-23,45.5,45.86,45.39,45.84,113800
2006-10-24,45.76,45.96,45.68,45.96,304100
2006-10-25,45.9,46.1,45.85,46.06,160000
2006-10-26,46.21,46.34,45.95,46.26,320200
2006-10-27,46.09,46.3,45.9,45.97,133000
2006-10-30,45.9,46.15,45.84,46.1,340000
2006-10-31,46.22,46.22,45.87,46.09,315600
2006-11-01,46.21,46.25,45.63,45.7,160400
2006-11-02,45.54,45.7,45.47,45.7,82400
2006-11-03,45.88,45.9,45.39,45.46,238400
2006-11-06,45.79,46.15,45.71,46.04,313700
2006-11-07,46.08,46.38,46.06,46.18,422800
2006-11-08,46.1,46.43,45.97,46.34,391700
2006-11-09,46.4,46.49,46.09,46.14,227500
2006-11-10,46.11,46.3,46.07,46.3,206200
2006-11-13,46.21,46.53,46.2,46.46,304100
2006-11-14,46.52,46.81,46.3,46.76,237200
2006-11-15,46.79,47.12,46.79,47.03,270600
2006-11-16,47.16,47.2,47.02,47.11,511300
2006-11-17,47,47.09,46.86,47.09,208200
2006-11-20,47.08,47.16,46.97,47.04,1258400
2006-11-21,47.07,47.3,47.05,47.3,684700
2006-11-22,47.28,47.41,47.2,47.4,161300
2006-11-24,47.18,47.39,47.15,47.31,68400
