date,open,high,low,close,volume
2006-01-03,23.31,23.47,23.18,23.44,1372800
2006-01-04,23.45,23.53,23.45,23.52,1124300
2006-01-05,23.54,23.57,23.37,23.4,1806300
2006-01-06,23.49,23.51,23.35,23.5,1131600
2006-01-09,23.47,23.63,23.45,23.61,1714100
2006-01-10,23.55,23.58,23.47,23.55,1144600
2006-01-11,23.5,23.59,23.49,23.57,722700
2006-01-12,23.48,23.58,23.45,23.51,1491000
2006-01-13,23.5,23.6,23.44,23.48,1385600
2006-01-17,23.3,23.43,23.3,23.39,788800
2006-01-18,23.36,23.5,23.35,23.49,1169200
2006-01-19,23.38,23.54,23.38,23.51,1162400
2006-01-20,23.55,23.55,23.17,23.17,8322800
2006-01-23,23.22,23.3,23.16,23.19,1426300
2006-01-24,23.31,23.32,23.19,23.27,1194900
2006-01-25,23.31,23.32,23.21,23.29,1130900
2006-01-26,23.35,23.47,23.29,23.34,1229300
2006-01-27,23.44,23.55,23.31,23.53,1052000
2006-01-30,23.4,23.57,23.4,23.44,766200
2006-01-31,23.38,23.42,23.26,23.33,945800
2006-02-01,23.26,23.44,23.26,23.39,1696000
2006-02-02,23.48,23.5,23.29,23.38,2180800
2006-02-03,23.16,23.34,23.16,23.23,1563800
2006-02-06,23.15,23.28,23.13,23.18,1004800
2006-02-07,23.16,23.19,23.03,23.07,1043600
2006-02-08,23.01,23.23,23.01,23.17,1782700
2006-02-09,23.19,23.32,23.12,23.24,1260300
2006-02-10,23.18,23.29,23.12,23.21,515700
2006-02-13,23.21,23.28,23.06,23.18,724300
2006-02-14,23.17,23.47,23.17,23.47,793900
2006-02-15,23.37,23.62,23.37,23.62,1513200
2006-02-16,23.5,23.73,23.5,23.73,826200
2006-02-17,23.65,23.75,23.62,23.63,703500
2006-02-21,23.63,23.69,23.51,23.6,1126200
2006-02-22,23.61,23.81,23.61,23.79,1692500
2006-02-23,23.83,23.88,23.71,23.8,1307200
2006-02-24,23.7,23.77,23.64,23.68,486200
2006-02-27,23.9,23.9,23.74,23.85,736500
2006-02-28,23.9,23.9,23.52,23.53,1044800
2006-03-01,23.65,23.65,23.53,23.62,454800
2006-03-02,23.6,23.62,23.44,23.49,763500
2006-03-03,23.46,23.71,23.45,23.55,1047000
2006-03-06,23.52,23.59,23.45,23.47,1464300
2006-03-07,23.49,23.64,23.48,23.63,2089000
2006-03-08,23.54,23.9,23.5,23.89,2036100
2006-03-09,23.88,24.03,23.86,23.93,2680800
2006-03-10,23.98,24.49,23.96,24.15,2637700
2006-03-13,24.12,24.25,24.09,24.17,1294300
2006-03-14,23.67,24.16,23.67,24.11,1859000
2006-03-15,24.09,24.18,23.92,24.02,1268000
2006-03-16,24.06,24.11,24,24.1,1419900
2006-03-17,24.08,24.09,23.92,23.96,983100
2006-03-20,24.14,24.15,23.96,24.1,1038100
2006-03-21,24.05,24.17,23.93,23.94,1600600
2006-03-22,24.01,24.16,23.95,24.16,1350200
