date,open,high,low,close,volume
2006-01-03,16.25,16.52,16.125,16.5,3390600
2006-01-04,16.5,16.525,16.41,16.515,6706800
2006-01-05,16.55,16.585,16.475,16.53,1272600
2006-01-06,16.605,16.685,16.53,16.665,644200
2006-01-09,16.68,16.835,16.675,16.835,1304400
2006-01-10,16.785,16.875,16.765,16.84,1055000
2006-01-11,16.995,17.065,16.83,16.925,1810800
2006-01-12,16.89,16.89,16.76,16.775,637400
2006-01-13,16.805,16.82,16.725,16.78,841600
2006-01-17,16.72,16.75,16.65,16.69,487800
2006-01-18,16.58,16.74,16.565,16.635,2426200
2006-01-19,16.7,16.83,16.68,16.76,1305400
2006-01-20,16.76,16.76,16.455,16.475,1931600
2006-01-23,16.5,16.535,16.43,16.465,1580800
2006-01-24,16.55,16.635,16.52,16.63,1427000
2006-01-25,16.63,16.67,16.505,16.57,2520200
2006-01-26,16.64,16.675,16.575,16.64,684000
2006-01-27,16.645,16.8,16.635,16.715,582600
2006-01-30,16.515,16.775,16.515,16.675,1155000
2006-01-31,16.625,16.675,16.565,16.615,1842800
2006-02-01,16.585,16.695,16.58,16.67,1677800
2006-02-02,16.64,16.715,16.575,16.65,1506000
2006-02-03,16.56,16.615,16.515,16.57,1234200
2006-02-06,16.56,16.585,16.505,16.565,1594200
2006-02-07,16.52,16.59,16.425,16.465,3758200
2006-02-08,16.44,16.6,16.44,16.58,1179600
2006-02-09,16.58,16.67,16.57,16.575,958000
2006-02-10,16.56,16.665,16.51,16.635,907400
2006-02-13,16.63,16.63,16.525,16.595,598800
2006-02-14,16.605,16.785,16.555,16.78,869800
2006-02-15,16.76,16.865,16.7,16.855,1203000
2006-02-16,16.84,16.915,16.83,16.91,1427000
2006-02-17,16.87,16.875,16.805,16.81,1476600
2006-02-21,16.86,16.895,16.68,16.72,620400
2006-02-22,16.74,16.865,16.74,16.845,583600
2006-02-23,16.77,16.885,16.755,16.755,1051400
2006-02-24,16.74,16.745,16.625,16.725,793800
2006-02-27,16.79,16.92,16.79,16.875,1466000
2006-02-28,16.85,16.855,16.71,16.735,1397000
2006-03-01,16.76,16.865,16.68,16.86,3806600
2006-03-02,16.765,16.78,16.68,16.75,1945600
2006-03-03,16.705,16.84,16.655,16.74,1759400
2006-03-06,16.705,16.75,16.615,16.635,814000
2006-03-07,16.575,16.62,16.52,16.56,5432400
2006-03-08,16.515,16.635,16.515,16.59,1037000
2006-03-09,16.595,16.655,16.505,16.525,1013800
2006-03-10,16.555,16.69,16.54,16.68,1587800
2006-03-13,16.695,16.75,16.64,16.675,881000
2006-03-14,16.655,16.86,16.625,16.855,743600
2006-03-15,16.865,16.955,16.805,16.95,3434600
2006-03-16,16.96,17.035,16.95,16.985,1574400
2006-03-17,16.96,17.045,16.96,17.01,3307400
2006-03-20,16.995,17.045,16.94,16.97,642200
2006-03-21,16.885,17,16.845,16.875,1032400
2006-03-22,16.855,16.94,16.84,16.93,755800
2006-03-23,16.865,16.935,16.85,16.92,609000
2006-03-24,16.905,16.935,16.825,16.895,530200
2006-03-27,16.835,16.935,16.835,16.89,1775600
2006-03-28,16.84,16.96,16.79,16.8,3976400
2006-03-29,16.895,16.96,16.8,16.95,1277200
2006-03-30,16.94,17.005,16.825,16.88,1177000
2006-03-31,16.885,16.905,16.8,16.83,734400
2006-04-03,16.905,16.91,16.755,16.77,1430000
2006-04-04,16.755,16.87,16.72,16.865,2144200
2006-04-05,16.865,16.99,16.865,16.975,1163400
2006-04-06,16.915,17.035,16.915,17.01,660400
2006-04-07,17.05,17.14,16.905,16.935,948400
2006-04-10,16.9,16.97,16.87,16.91,756600
2006-04-11,16.99,16.99,16.755,16.775,1756000
2006-04-12,16.775,16.79,16.715,16.76,1208000
2006-04-13,17.185,17.185,16.72,16.8,644400
2006-04-17,16.825,16.825,16.645,16.715,1054200
2006-04-18,16.745,16.97,16.74,16.96,747400
2006-04-19,16.95,16.965,16.845,16.9,2808800
2006-04-20,16.915,17.015,16.86,16.965,1189600
2006-04-21,17,17,16.785,16.835,2525200
2006-04-24,16.835,16.85,16.74,16.83,465800
2006-04-25,16.8,16.86,16.75,16.805,1138800
2006-04-26,16.835,16.96,16.83,16.92,1635800
2006-04-27,16.895,17.12,16.845,17.055,4334000
2006-04-28,17.045,17.12,17,17.045,1483600
2006-05-01,17.04,17.15,16.95,16.95,1233000
2006-05-02,16.97,17.045,16.93,16.965,3660000
2006-05-03,16.98,17.01,16.93,17.01,1262200
2006-05-04,17.025,17.11,17.025,17.105,2259800
2006-05-05,17.22,17.33,17.17,17.305,3301200
2006-05-08,17.305,17.38,17.305,17.33,1950400
2006-05-09,17.335,17.38,17.325,17.38,1222400
2006-05-10,17.365,17.41,17.34,17.39,614600
2006-05-11,17.34,17.35,17.185,17.215,1554000
2006-05-12,17.125,17.175,17,17.045,1811600
2006-05-15,17.025,17.1,16.945,17.09,2416600
2006-05-16,17.045,17.045,16.94,16.97,1280000
2006-05-17,16.91,16.91,16.72,16.735,1375800
2006-05-18,16.775,16.875,16.72,16.725,1421800
2006-05-19,16.765,16.885,16.7,16.84,1997000
2006-05-22,16.735,16.845,16.575,16.72,3256800
2006-05-23,16.76,16.785,16.595,16.595,1224400
2006-05-24,16.505,16.685,16.48,16.62,2467200
2006-05-25,16.68,16.78,16.65,16.78,2237800
2006-05-26,16.84,16.865,16.815,16.835,1078400
2006-05-30,16.71,16.735,16.58,16.58,1625800
2006-05-31,16.615,16.77,16.615,16.76,1071000
2006-06-01,16.8,17.04,16.73,17.02,2394600
2006-06-02,17.075,17.075,16.835,16.95,902400
2006-06-05,16.9,16.93,16.705,16.715,1536800
2006-06-06,16.71,16.71,16.525,16.63,5799400
2006-06-07,16.615,16.775,16.615,16.635,1816400
2006-06-08,16.535,16.65,16.355,16.61,3948200
2006-06-09,16.665,16.67,16.565,16.57,1102000
2006-06-12,16.54,16.56,16.34,16.35,1666800
2006-06-13,16.33,16.425,16.205,16.22,7052600
2006-06-14,16.23,16.315,16.205,16.295,2324800
2006-06-15,16.365,16.695,16.365,16.65,2283800
2006-06-16,16.595,16.655,16.53,16.575,670200
2006-06-19,16.67,16.67,16.455,16.485,1101000
2006-06-20,16.495,16.525,16.415,16.425,705200
2006-06-21,16.475,16.655,16.41,16.585,597600
2006-06-22,16.53,16.57,16.43,16.455,1137600
2006-06-23,16.425,16.54,16.375,16.44,382600
2006-06-26,16.435,16.525,16.435,16.525,595200
2006-06-27,16.525,16.535,16.295,16.315,784200
2006-06-28,16.29,16.365,16.25,16.33,757800
2006-06-29,16.33,16.69,16.33,16.685,1267000
2006-06-30,16.74,16.75,16.67,16.695,1168600
2006-07-03,16.755,16.755,16.645,16.72,574400
2006-07-05,16.525,16.595,16.49,16.565,1193000
2006-07-06,16.56,16.64,16.525,16.575,612000
2006-07-07,16.465,16.65,16.415,16.45,635600
2006-07-10,16.48,16.565,16.42,16.47,557000
2006-07-11,16.47,16.47,16.29,16.455,861000
2006-07-12,16.48,16.48,16.175,16.195,1369200
2006-07-13,16.125,16.13,15.89,15.9,1182400
2006-07-14,15.855,15.855,15.635,15.695,3050800
2006-07-17,15.695,15.83,15.695,15.805,1093400
2006-07-18,15.78,15.785,15.565,15.71,2986400
2006-07-19,15.74,16.045,15.74,16.025,2757400
2006-07-20,15.97,16.02,15.8,15.815,1637600
2006-07-21,15.8,15.8,15.64,15.67,3437800
2006-07-24,15.745,16.035,15.745,16.01,2732800
2006-07-25,15.995,16.195,15.95,16.155,3181200
2006-07-26,16.08,16.1,15.96,15.97,4408000
2006-07-27,16.08,16.145,15.905,15.935,1529400
2006-07-28,16,16.155,16,16.13,5324800
2006-07-31,16.06,16.17,16.06,16.14,845000
2006-08-01,16.115,16.13,15.91,15.99,2523600
2006-08-02,16.035,16.15,16.02,16.12,1246800
2006-08-03,16.02,16.27,15.955,16.22,1043800
2006-08-04,16.41,16.5,16.155,16.225,4625600
2006-08-07,16.23,16.245,16.115,16.19,1541000
2006-08-08,16.245,16.245,15.985,16.025,3060600
2006-08-09,16.1,16.1,15.79,15.805,4976000
2006-08-10,15.825,16.035,15.78,16.02,5159600
2006-08-11,15.995,16.04,15.95,16.015,2764800
2006-08-14,16.17,16.215,16.04,16.06,3873800
2006-08-15,16.215,16.305,16.155,16.285,4862800
2006-08-16,16.29,16.47,16.275,16.45,5026200
2006-08-17,16.465,16.605,16.445,16.55,4186200
2006-08-18,16.605,16.605,16.43,16.545,7009600
2006-08-21,16.325,16.39,16.315,16.365,1106000
2006-08-22,16.315,16.405,16.295,16.35,831400
2006-08-23,16.295,16.355,16.155,16.205,2821600
2006-08-24,16.165,16.215,16.08,16.12,561200
2006-08-25,16.055,16.14,16.04,16.12,1276400
2006-08-28,16.11,16.34,16.11,16.28,5019400
2006-08-29,16.315,16.4,16.24,16.4,2389600
2006-08-30,16.36,16.43,16.335,16.41,1550200
2006-08-31,16.43,16.48,16.375,16.46,894000
2006-09-01,16.495,16.625,16.495,16.595,2298800
2006-09-05,16.595,16.655,16.585,16.645,1703600
2006-09-06,16.575,16.59,16.44,16.44,2578800
2006-09-07,16.36,16.585,16.36,16.495,2309600
2006-09-08,16.46,16.645,16.45,16.645,706000
2006-09-11,16.645,16.815,16.58,16.775,1651200
2006-09-12,16.775,17.19,16.775,17.165,4548200
2006-09-13,17.185,17.265,17.13,17.235,4447200
2006-09-14,17.235,17.235,17.055,17.19,2214600
2006-09-15,17.235,17.28,17.14,17.23,5961000
2006-09-18,17.185,17.21,17.075,17.14,3872400
2006-09-19,17.15,17.175,17.055,17.175,3437400
2006-09-20,17.225,17.345,17.225,17.3,3207800
2006-09-21,17.365,17.385,17.15,17.205,5654200
2006-09-22,17.205,17.205,17.065,17.19,5794200
2006-09-25,17.23,17.515,17.185,17.455,4442000
2006-09-26,17.415,17.61,17.39,17.605,3895000
2006-09-27,17.55,17.705,17.54,17.575,6056000
2006-09-28,17.585,17.65,17.435,17.57,2887200
2006-09-29,17.61,17.62,17.465,17.475,2456400
2006-10-02,17.465,17.635,17.455,17.515,3643200
2006-10-03,17.535,17.715,17.485,17.665,4671200
2006-10-04,17.675,17.935,17.635,17.92,5966400
2006-10-05,17.885,18.005,17.755,17.97,3200600
2006-10-06,17.95,18.005,17.87,17.935,3194600
2006-10-09,17.955,18.105,17.88,18.06,2211000
2006-10-10,18.12,18.17,18.065,18.17,5808000
2006-10-11,18.1,18.17,18.025,18.125,914200
2006-10-12,18.245,18.39,18.215,18.365,3796800
2006-10-13,18.275,18.315,18.24,18.315,2385000
2006-10-16,18.255,18.335,18.24,18.3,1262800
2006-10-17,18.195,18.24,18.11,18.235,4380200
2006-10-18,18.37,18.38,18.195,18.25,5154400
2006-10-19,18.255,18.33,18.16,18.24,3883400
2006-10-20,18.295,18.295,18.155,18.215,5857600
2006-10-23,18.18,18.455,18.175,18.455,3074000
2006-10-24,18.405,18.525,18.375,18.525,2467400
2006-10-25,18.555,18.56,18.395,18.46,1450600
2006-10-26,18.545,18.725,18.52,18.715,2906400
2006-10-27,18.665,18.665,18.5,18.53,4738400
2006-10-30,18.525,18.67,18.48,18.645,2921200
2006-10-31,18.705,18.735,18.54,18.605,1755000
2006-11-01,18.635,18.64,18.44,18.46,4317600
2006-11-02,18.35,18.46,18.295,18.44,3902800
2006-11-03,18.465,18.5,18.215,18.3,8386200
2006-11-06,18.41,18.565,18.315,18.525,3559600
2006-11-07,18.525,18.635,18.48,18.575,4232800
2006-11-08,18.55,18.69,18.485,18.665,1692200
2006-11-09,18.695,18.695,18.57,18.605,2199600
2006-11-10,18.595,18.665,18.535,18.665,1572200
2006-11-13,18.625,18.79,18.625,18.69,3735000
2006-11-14,18.745,18.905,18.605,18.895,3204600
2006-11-15,18.94,19.025,18.895,18.965,1675600
2006-11-16,19.015,19.115,18.97,19.09,1965400
2006-11-17,19.03,19.055,18.945,19.055,9265800
2006-11-20,19.04,19.075,18.975,18.98,10451800
2006-11-21,18.975,19.045,18.965,19.035,1922600
2006-11-22,19.025,19.105,18.98,19.075,3699400
2006-11-24,19.045,19.05,18.925,18.975,790000
2006-11-27,18.955,18.975,18.685,18.7,2921200
2006-11-28,18.625,18.705,18.57,18.69,3602200
2006-11-29,18.815,18.87,18.75,18.82,1983200
2006-11-30,18.81,18.905,18.68,18.84,2804800
2006-12-01,18.82,18.965,18.675,18.815,2886800
2006-12-04,18.865,19.075,18.805,19.015,3589000
2006-12-05,18.995,19.195,18.995,19.175,3834000
2006-12-06,19.15,19.21,19.14,19.16,1986600
2006-12-07,19.17,19.225,19.055,19.07,1197000
2006-12-08,19.1,19.18,19.02175,19.11,667800
2006-12-11,19.105,19.2,19.065,19.18,1249000
2006-12-12,19.14,19.145,19.03,19.075,2034400
2006-12-13,19.15,19.21,19.1,19.175,3448400
2006-12-14,19.2,19.385,19.15,19.375,1317800
2006-12-15,19.31,19.39,19.21,19.225,1936400
2006-12-18,19.225,19.285,19.175,19.21,3305600
2006-12-19,19.12,19.245,19.06,19.22,2136600
2006-12-20,19.225,19.3,19.19,19.215,3561400
2006-12-21,19.255,19.29,19.12,19.13,5625000
2006-12-22,19.11,19.18,19.065,19.115,1196000
2006-12-26,19.1,19.185,19.05,19.175,990000
2006-12-27,19.225,19.305,19.2,19.3,612600
2006-12-28,19.305,19.33,19.25,19.28,391000
2006-12-29,19.255,19.34,19.17,19.18,1328600
2007-01-03,19.285,19.415,19.12,19.26,4009200
2007-01-04,19.23,19.315,19.15,19.255,2673200
2007-01-05,19.28,19.28,19.1,19.125,2029800
2007-01-06,19.28,19.28,19.1,19.125,2029800
2007-01-08,19.14,19.18,19.015,19.155,6240200
2007-01-09,19.255,19.28,19.145,19.26,2286600
2007-01-10,19.21,19.37,19.155,19.36,2033000
2007-01-11,19.35,19.585,19.335,19.575,1437400
2007-01-12,19.54,19.635,19.51,19.63,1727200
2007-01-16,19.595,19.715,19.595,19.7,1778600
2007-01-17,19.73,19.765,19.68,19.7,1676400
2007-01-18,19.745,19.84,19.725,19.81,2024600
2007-01-19,19.77,19.86,19.7475,19.805,1963000
2007-01-22,19.84,19.845,19.655,19.68,4308000
2007-01-23,19.73,19.84,19.69,19.74,3004400
2007-01-24,19.79,19.825,19.73,19.805,1950600
2007-01-25,19.785,19.785,19.485,19.495,1849800
2007-01-26,19.53,19.56,19.36,19.41,2231600
2007-01-29,19.425,19.55,19.405,19.455,3814600
2007-01-30,19.49,19.54,19.4475,19.51,2538400
2007-01-31,19.475,19.765,19.475,19.725,2298200
2007-02-01,19.735,19.815,19.71,19.8,2376600
2007-02-02,19.82,19.87,19.79,19.85,1215400
2007-02-05,19.825,19.83,19.73,19.79,1529600
2007-02-06,19.79,19.86,19.75,19.86,2747800
2007-02-07,19.88,19.98,19.84,19.94,1846000
2007-02-08,19.925,19.93,19.84495,19.89,1925000
2007-02-09,19.935,19.99375,19.635,19.725,2254400
2007-02-12,19.75,19.77,19.595,19.615,1739544
2007-02-13,19.68,19.81,19.655,19.805,1874138
2007-02-14,19.825,19.935,19.79,19.92,1983070
2007-02-15,19.905,19.975,19.835,19.97,2834400
2007-02-16,19.87,19.95,19.835,19.95,1662200
2007-02-20,19.915,20.105,19.875,20.095,1840200
2007-02-21,20,20.06,19.985,20.015,4133200
2007-02-22,20.04,20.06,19.885,19.97,2336800
2007-02-23,19.995,20.01,19.85,19.91,1592400
2007-02-26,19.925,19.94,19.69,19.755,1819062
2007-02-27,19.54,19.545,18.84,19.075,7062400
2007-02-28,19.645,19.645,18.94,19.115,10877600
2007-03-01,19.12,19.135,18.67,19.03,5320628
2007-03-02,18.96,19.065,18.875,18.89,3838600
2007-03-05,18.66,18.875,18.615,18.64,6013000
2007-03-06,18.805,19.005,18.72,18.96,2622400
2007-03-07,18.85,19.03,18.85,18.94,2607800
2007-03-08,18.97,19.22,18.96,19.09,1670200
2007-03-09,19.21,19.235,19.025,19.13,2513600
2007-03-12,19.095,19.16,19.055,19.105,818400
2007-03-13,18.995,19.035,18.71,18.755,1717800
2007-03-14,18.685,18.785,18.43,18.72,5315600
2007-03-15,18.745,18.85,18.72995,18.76,1924400
2007-03-16,18.79,18.825,18.66,18.66,1925200
2007-03-19,18.835,18.935,18.8,18.935,2368000
2007-03-20,18.905,19.075,18.89,19.075,2645550
2007-03-21,19.07,19.4,19.01,19.375,3908334
2007-03-22,19.405,19.405,19.235,19.32,4584400
2007-03-23,19.245,19.385,19.245,19.33,2148256
2007-03-26,19.285,19.33075,19.12,19.235,2417800
2007-03-27,19.16,19.175,19.07,19.115,3325800
2007-03-28,18.97,19.02,18.855,18.9,3322200
2007-03-29,19.06,19.06,18.84,18.965,6632600
2007-03-30,18.99,19.095,18.85,19.015,2737800
2007-04-02,19.045,19.095,18.955,19.08,2684800
2007-04-03,19.2,19.38,19.18005,19.325,2689200
2007-04-04,19.3,19.33,19.25,19.27,3012792
2007-04-05,19.255,19.425,19.255,19.425,1554400
2007-04-09,19.465,19.465,19.365,19.41,1425310
2007-04-10,19.4,19.465,19.39,19.45,2728562
2007-04-11,19.425,19.465,19.28,19.3,1813458
2007-04-12,19.29,19.445,19.165,19.435,2247702
2007-04-13,19.455,19.47,19.33,19.45,2621850
2007-04-16,19.5,19.66,19.5,19.645,3262706
2007-04-17,19.62,19.725,19.62,19.725,1302970
2007-04-18,19.64,19.72,19.57,19.71,1650600
2007-04-19,19.54,19.625,19.51,19.555,3858364
2007-04-20,19.73,19.82,19.65,19.785,1360190
2007-04-23,19.78,19.8,19.69,19.745,1580894
2007-04-24,19.715,19.715,19.535,19.675,3504624
2007-04-25,19.775,19.89,19.705,19.875,6836216
2007-04-26,19.915,19.92,19.775,19.845,3765042
2007-04-27,19.815,19.815,19.68,19.715,5667036
2007-04-30,19.745,19.745,19.465,19.465,3276562
2007-05-01,19.44,19.55,18.915,19.52,5701358
2007-05-02,19.605,19.7854,19.6,19.745,6979086
2007-05-03,19.725,19.775,19.65,19.705,4592686
2007-05-04,19.755,19.835,19.65,19.75,2309948
2007-05-07,19.725,19.785,19.71,19.75,1998892
2007-05-08,19.65,19.71,19.615,19.665,2135986
2007-05-09,19.6,19.8,19.6,19.785,4621400
2007-05-10,19.66,19.76,19.505,19.57,3558280
2007-05-11,19.62,19.65,19.545,19.65,2690800
2007-05-14,19.665,19.745,19.57,19.65,1813800
2007-05-15,19.6,19.76,19.52,19.58,6546200
2007-05-16,19.635,19.675,19.515,19.65,1969400
2007-05-17,19.61,19.72425,19.61,19.68,2336096
2007-05-18,19.765,20.025,19.66,19.86,3790800
2007-05-21,19.91,20,19.865,19.935,6525066
2007-05-22,19.97,19.98,19.875,19.915,2270162
2007-05-23,20.04,20.115,19.915,19.925,5534834
2007-05-24,19.95,20.06,19.75,19.765,5078514
2007-05-25,19.785,19.8639,19.775,19.835,3348600
2007-05-29,19.825,19.905,19.745,19.82,2917400
2007-05-30,19.73,20,19.69,20,3148000
2007-05-31,20.05,20.075,19.97,20.05,2658534
2007-06-01,20.13,20.195,20.085,20.165,3510860
2007-06-04,20.11,20.215,20.065,20.205,2728146
2007-06-05,20.11,20.135,19.98,20.085,3901400
2007-06-06,19.955,19.97,19.83,19.83,5718642
2007-06-07,19.825,19.835,19.46,19.46,7069600
2007-06-08,19.46,19.71,19.44,19.71,3879600
2007-06-11,19.61,19.715,19.58,19.645,2500000
2007-06-12,19.51,19.665,19.435,19.485,3264000
2007-06-13,19.56,19.71,19.49,19.71,2794196
2007-06-14,19.685,19.86,19.685,19.85,1898800
2007-06-15,19.965,20,19.88,19.915,5280276
2007-06-18,19.915,19.93,19.82,19.83,1575116
2007-06-19,19.805,19.905,19.73,19.895,6225060
2007-06-20,20,20.065,19.815,19.86,5319002
2007-06-21,19.795,19.88,19.625,19.825,5831260
2007-06-22,19.755,19.785,19.62,19.695,4572400
2007-06-25,19.69,19.79,19.54,19.615,3643400
2007-06-26,19.675,19.695,19.48,19.48,19500122
2007-06-27,19.46,19.715,19.395,19.68,3743380
2007-06-28,19.69,19.8,19.64,19.64,6325416
2007-06-29,19.7,19.835,19.55,19.665,3892400
2007-07-02,19.7,19.905,19.505,19.77,2482734
2007-07-03,19.805,19.845,19.725,19.8,3641486
2007-07-05,19.85,19.94,19.7,19.905,6692512
2007-07-06,19.875,20.35,19.51,20.085,4295232
2007-07-09,20.08,20.095,19.965,20.01,2917012
2007-07-10,19.875,19.89,19.59,19.655,9010638
2007-07-11,19.56,19.775,18.765,19.77,5011816
2007-07-12,19.81,19.975,19.77,19.925,3845920
2007-07-13,19.94,20.065,19.92,20.025,3988520
2007-07-16,20.02,20.045,19.9,19.945,2074720
2007-07-17,19.975,19.99,19.925,19.965,3545600
2007-07-18,19.91,19.98,19.775,19.94,3318076
2007-07-19,19.965,20.04,19.94,19.985,2653400
2007-07-20,19.93,19.99,19.71,19.73,7010958
2007-07-23,19.94,19.94,19.73,19.76,3347000
2007-07-24,19.655,19.8,19.365,19.45,9405018
2007-07-25,19.625,19.625,19.28,19.385,9219158
2007-07-26,19.115,19.155,18.61,18.815,13686798
2007-07-27,18.78,18.895,18.52,18.52,11722200
2007-07-30,18.57,18.825,18.47,18.785,7006704
2007-07-31,18.93,19.045,18.49,18.5,6688342
2007-08-01,18.505,18.555,18.21,18.525,10044378
2007-08-02,18.625,18.76,18.51,18.76,10718252
2007-08-03,18.68,18.71,18.16,18.185,9537338
2007-08-06,18.245,18.48,18.075,18.475,9808644
2007-08-07,18.385,18.69,18.29,18.58,11864600
2007-08-08,18.675,18.855,18.52,18.79,12150160
2007-08-09,18.455,18.615,18.26,18.26,7957800
2007-08-10,18.065,18.355,17.89,18.18,11018394
2007-08-13,18.35,18.6,18.28,18.28,9877800
2007-08-14,18.25,18.25,17.8,17.815,9503028
2007-08-15,17.735,17.99,17.535,17.625,9234920
2007-08-16,17.38,17.675,17.12,17.65,14444566
2007-08-17,18.06,18.405,17.625,17.775,11844386
2007-08-20,17.935,18.00995,17.78,17.87,11854252
2007-08-21,17.87,18.075,17.825,17.99,5679188
2007-08-22,18.19,18.29,18.1,18.23,8271000
2007-08-23,18.355,18.4,18.14,18.16,3795200
2007-08-24,18.23,18.525,18.215,18.525,5526400
2007-08-27,18.43,18.465,18.26,18.27,3659600
2007-08-28,18.215,18.245,17.83,17.83,5259800
2007-08-29,17.95,18.4,17.91,18.39,3746000
2007-08-30,18.185,18.39,18.15,18.315,3459000
2007-08-31,18.47,18.67,18.385,18.615,6453400
2007-09-04,18.515,18.65,18.455,18.64,6038600
2007-09-05,18.39,18.445,18.265,18.345,8725800
2007-09-06,18.41,18.465,18.27,18.39,3451200
