"Symbol","Log Date","Regime","Regime Confidence","Phase","Bias","Conviction","Setup Tags","Price","Invalidation","PT Calibration","Up Base","Up Base Prob","Weekly Trend"
"AAPL","2026-06-14","distribution","60.0%","A","neutral","20.0%","no_setup","291.13","","distribution","347.42","68.0%","up"
"AAPL","2026-06-15","distribution","60.0%","A","neutral","20.0%","no_setup","296.18","","distribution","347.42","68.0%","up"
"AAPL","2026-06-16","distribution","60.0%","A","neutral","20.0%","no_setup","298.40","","distribution","347.42","68.0%","up"
"AAPL","2026-06-17","distribution","60.0%","A","neutral","20.0%","no_setup","295.19","","distribution","347.42","68.0%","up"
"AAPL","2026-06-18","distribution","60.0%","A","neutral","20.0%","no_setup","297.25","","distribution","347.42","68.0%","up"
"AAPL","2026-06-19","distribution","60.0%","A","neutral","20.0%","no_setup","298.01","","distribution","347.42","68.0%","up"
"AAPL","2026-06-22","distribution","60.0%","A","neutral","20.0%","no_setup","299.13","","distribution","347.42","68.0%","up"
"AAPL","2026-06-23","distribution","60.0%","A","neutral","20.0%","no_setup","296.00","","distribution","347.42","68.0%","up"
"AAPL","2026-06-24","distribution","60.0%","A","neutral","20.0%","no_setup","294.49","","distribution","347.42","68.0%","flat"
"AAPL","2026-06-25","distribution","69.0%","D","short","45.0%","sow_breakdown_short","276.92","295.26","distribution","347.42","68.0%","flat"
"AAPL","2026-06-26","distribution","77.0%","D","short","45.0%","sow_breakdown_short","280.98","295.24","distribution","347.42","68.0%","flat"
"AAPL","2026-06-29","distribution","77.0%","D","short","45.0%","sow_breakdown_short","281.78","295.56","distribution","347.42","68.0%","flat"
"AAPL","2026-06-30","distribution","82.0%","D","short","45.0%","lpsy_short, sow_breakdown_short","287.68","289.66","distribution","347.42","68.0%","flat"
"AAPL","2026-07-01","distribution","60.0%","C","neutral","25.0%","no_setup","294.06","","distribution","347.42","68.0%","flat"
"AAPL","2026-07-02","distribution","60.0%","C","neutral","25.0%","no_setup","307.42","","distribution","347.42","68.0%","up"
"ADBE","2026-06-14","redistribution","88.0%","D","short","45.0%","sow_breakdown_short","204.02","235.48","redistribution","293.37","65.0%","down"
"ADBE","2026-06-15","markdown","77.0%","","short","66.0%","sow_breakdown_short, markdown_continuation","206.06","235.23","redistribution","293.37","65.0%","down"
"ADBE","2026-06-16","markdown","77.0%","","short","66.0%","sow_breakdown_short, markdown_continuation","207.11","234.94","redistribution","293.37","65.0%","down"
"ADBE","2026-06-17","markdown","77.0%","","short","66.0%","sow_breakdown_short, markdown_continuation","197.31","234.89","redistribution","293.37","65.0%","down"
"ADBE","2026-06-18","markdown","77.0%","","short","66.0%","sow_breakdown_short, markdown_continuation","195.47","234.74","redistribution","293.37","65.0%","down"
"ADBE","2026-06-19","markdown","77.0%","","short","66.0%","sow_breakdown_short, markdown_continuation","195.16","234.74","redistribution","293.37","65.0%","down"
"ADBE","2026-06-22","markdown","84.0%","","short","69.0%","sow_breakdown_short, markdown_continuation","193.01","234.56","redistribution","293.37","65.0%","down"
"ADBE","2026-06-23","markdown","84.0%","","short","69.0%","sow_breakdown_short, markdown_continuation","197.62","234.22","redistribution","293.37","65.0%","down"
"ADBE","2026-06-24","markdown","84.0%","","short","69.0%","sow_breakdown_short, markdown_continuation","197.95","234.02","redistribution","293.37","65.0%","down"
"ADBE","2026-06-25","markdown","84.0%","","short","69.0%","sow_breakdown_short, markdown_continuation","194.63","233.85","redistribution","293.37","65.0%","down"
"ADBE","2026-06-26","markdown","84.0%","","short","69.0%","sow_breakdown_short, markdown_continuation","200.88","233.73","redistribution","293.37","65.0%","down"
"ADBE","2026-06-29","markdown","84.0%","","short","69.0%","sow_breakdown_short, markdown_continuation","206.00","233.66","redistribution","293.37","65.0%","down"
"ADBE","2026-06-30","markdown","84.0%","","short","69.0%","sow_breakdown_short, markdown_continuation","204.80","233.35","redistribution","293.37","65.0%","down"
"ADBE","2026-07-01","markdown","84.0%","","short","69.0%","sow_breakdown_short, markdown_continuation","210.61","233.31","redistribution","293.37","65.0%","down"
"ADBE","2026-07-02","markdown","75.0%","","short","65.0%","sow_breakdown_short, markdown_continuation","221.29","233.45","redistribution","293.37","65.0%","down"
"ADI","2026-06-14","markup","84.0%","","long","69.0%","markup_continuation","417.79","383.32","","","","up"
"ADI","2026-06-15","markup","84.0%","","long","69.0%","markup_continuation","427.58","383.32","","","","up"
"ADI","2026-06-16","markup","84.0%","","long","69.0%","markup_continuation","422.67","383.32","","","","up"
"ADI","2026-06-17","markup","84.0%","","long","69.0%","markup_continuation","417.52","383.32","","","","up"
"ADI","2026-06-18","markup","84.0%","","long","69.0%","markup_continuation","430.17","383.32","","","","up"
"ADI","2026-06-19","markup","84.0%","","long","69.0%","markup_continuation","434.46","383.32","","","","up"
"ADI","2026-06-22","markup","84.0%","","long","69.0%","markup_continuation","442.58","383.32","","","","up"
"ADI","2026-06-23","markup","75.0%","","long","65.0%","markup_continuation","406.67","383.32","","","","flat"
"ADI","2026-06-24","markup","75.0%","","long","65.0%","markup_continuation","409.19","383.32","","","","flat"
"ADI","2026-06-25","markup","84.0%","","long","69.0%","markup_continuation","417.68","383.32","","","","up"
"ADI","2026-06-26","markup","69.0%","","long","63.0%","markup_continuation","388.80","383.32","","","","flat"
"ADI","2026-06-29","markup","69.0%","","long","63.0%","markup_continuation","391.11","383.32","","","","flat"
"ADI","2026-06-30","markup","69.0%","","long","63.0%","markup_continuation","398.44","383.32","","","","flat"
"ADI","2026-07-01","markup","69.0%","","long","63.0%","markup_continuation","393.68","382.82","","","","flat"
"ADI","2026-07-02","markup","69.0%","","long","63.0%","markup_continuation","373.32","382.82","","","","flat"
"AEHR","2026-06-14","markup","84.0%","","long","69.0%","markup_continuation","108.47","84.61","reaccumulation","67.90","72.0%","up"
"AEHR","2026-06-15","markup","84.0%","","long","69.0%","markup_continuation","115.53","84.61","reaccumulation","67.90","72.0%","up"
"AEHR","2026-06-16","markup","84.0%","","long","69.0%","markup_continuation","108.19","84.61","reaccumulation","67.90","72.0%","up"
"AEHR","2026-06-17","markup","84.0%","","long","69.0%","markup_continuation","114.17","84.61","reaccumulation","67.90","72.0%","up"
"AEHR","2026-06-18","markup","84.0%","","long","69.0%","markup_continuation","112.93","84.61","reaccumulation","67.90","72.0%","up"
"AEHR","2026-06-19","markup","84.0%","","long","69.0%","markup_continuation","115.30","84.61","reaccumulation","67.90","72.0%","up"
"AEHR","2026-06-22","markup","84.0%","","long","69.0%","markup_continuation","114.31","84.61","reaccumulation","67.90","72.0%","up"
"AEHR","2026-06-23","markup","75.0%","","long","65.0%","markup_continuation","102.90","84.61","reaccumulation","67.90","72.0%","up"
"AEHR","2026-06-24","markup","69.0%","","long","63.0%","markup_continuation","92.36","84.61","reaccumulation","67.90","72.0%","flat"
"AEHR","2026-06-25","markup","75.0%","","long","65.0%","markup_continuation","97.56","84.61","reaccumulation","67.90","72.0%","flat"
"AEHR","2026-06-26","markup","69.0%","","long","63.0%","markup_continuation","89.42","84.61","reaccumulation","67.90","72.0%","flat"
"AEHR","2026-06-29","markup","69.0%","","long","63.0%","markup_continuation","95.04","84.61","reaccumulation","67.90","72.0%","flat"
"AEHR","2026-06-30","markup","69.0%","","long","63.0%","markup_continuation","96.79","84.61","reaccumulation","67.90","72.0%","flat"
"AEHR","2026-07-01","reaccumulation","50.0%","B","neutral","20.0%","no_setup","85.91","","reaccumulation","176.48","72.0%","flat"
"AEHR","2026-07-02","reaccumulation","50.0%","B","neutral","20.0%","no_setup","68.85","","reaccumulation","176.48","72.0%","flat"
"AEP","2026-06-14","markdown","50.0%","","short","55.0%","sow_breakdown_short, markdown_continuation","129.23","131.81","distribution","149.44","68.0%","flat"
"AEP","2026-06-15","markdown","50.0%","","short","55.0%","sow_breakdown_short, markdown_continuation","129.09","131.82","distribution","149.44","68.0%","flat"
"AEP","2026-06-16","markdown","50.0%","","short","55.0%","sow_breakdown_short, markdown_continuation","129.43","131.80","distribution","149.44","68.0%","flat"
"AEP","2026-06-17","reaccumulation","50.0%","B","neutral","20.0%","no_setup","128.00","","reaccumulation","149.46","72.0%","flat"
"AEP","2026-06-18","reaccumulation","50.0%","B","neutral","20.0%","no_setup","127.33","","reaccumulation","149.46","72.0%","flat"
"AEP","2026-06-19","reaccumulation","50.0%","B","neutral","20.0%","no_setup","127.69","","reaccumulation","149.46","72.0%","flat"
"AEP","2026-06-22","reaccumulation","50.0%","B","neutral","20.0%","no_setup","129.97","","reaccumulation","149.46","72.0%","flat"
"AEP","2026-06-23","reaccumulation","50.0%","B","neutral","20.0%","no_setup","133.32","","reaccumulation","149.46","72.0%","up"
"AEP","2026-06-24","reaccumulation","50.0%","B","neutral","20.0%","no_setup","134.47","","reaccumulation","149.46","72.0%","up"
"AEP","2026-06-25","reaccumulation","50.0%","B","neutral","20.0%","no_setup","137.00","","reaccumulation","149.46","72.0%","up"
"AEP","2026-06-26","reaccumulation","50.0%","B","neutral","20.0%","no_setup","138.38","","reaccumulation","149.46","72.0%","up"
"AEP","2026-06-29","reaccumulation","50.0%","B","neutral","20.0%","no_setup","137.26","","reaccumulation","149.46","72.0%","up"
"AEP","2026-06-30","reaccumulation","50.0%","B","neutral","20.0%","no_setup","137.13","","reaccumulation","149.46","72.0%","up"
"AEP","2026-07-01","reaccumulation","50.0%","C","neutral","25.0%","no_setup","134.92","","reaccumulation","149.46","72.0%","up"
"AEP","2026-07-02","reaccumulation","50.0%","C","neutral","25.0%","no_setup","137.75","","reaccumulation","149.46","72.0%","up"
"AEVA","2026-06-14","markup","95.0%","","long","73.0%","sos_breakout_long, markup_continuation","24.89","16.71","reaccumulation","27.57","72.0%","up"
"AEVA","2026-06-15","markup","95.0%","","long","73.0%","sos_breakout_long, markup_continuation","26.73","16.66","reaccumulation","27.57","72.0%","up"
"AEVA","2026-06-16","markup","95.0%","","long","73.0%","markup_continuation","25.04","20.77","reaccumulation","27.57","72.0%","up"
"AEVA","2026-06-17","markup","86.0%","","long","69.0%","markup_continuation","24.04","20.77","reaccumulation","27.57","72.0%","up"
"AEVA","2026-06-18","markup","75.0%","","long","65.0%","markup_continuation","23.73","20.77","reaccumulation","27.57","72.0%","up"
