symbol,onset_date,dir,prev_regime,context,phase,conviction,regime_conf,tags,entry,up_base,up_base_prob,fwd_bars,race,base_touch,base_touch_bar,stop_bar,stopped_then_touched,mae_pct,mfe_pct,exit_flip_date,flip_ret,flip_hold,bull_ret,invalidation
ADBE,2026-06-15,down,redistribution,redistribution,,66.0,77.0,"sow_breakdown_short, markdown_continuation",205.38,293.37,65.0,12,,,,,,8.17,7.43,,,,,235.23
AMBA,2026-06-15,up,markdown,distribution,,62.0,68.0,markup_continuation,69.66,121.66,68.0,12,stopped,False,,5,False,13.38,34.94,2026-06-16,-2.17,1,-2.17,61.8
NTAP,2026-06-15,up,distribution,distribution,,73.0,95.0,markup_continuation,162.065,214.87,68.0,12,in_flight,False,,,False,7.89,1.6,,,,,106.3
ORCL,2026-06-15,up,markdown,distribution,,62.0,68.0,markup_continuation,190.01,276.5,68.0,12,stopped,False,,4,False,26.94,2.79,2026-06-17,-3.68,2,-3.68,178.8
RR,2026-06-15,up,markdown,accumulation,,55.0,50.0,"sos_breakout_long, markup_continuation",2.12,3.36,70.0,12,stopped,False,,5,False,14.62,5.66,2026-06-16,-0.94,1,-0.94,2.34
AMBA,2026-06-16,down,markup,distribution,,55.0,50.0,"sow_breakdown_short, markdown_continuation",68.15,121.66,68.0,11,,,,,,37.93,11.46,2026-06-30,-22.71,9,,76.59
AMKR,2026-06-16,up,reaccumulation,reaccumulation,,69.0,84.0,"sos_breakout_long, markup_continuation",91,93.46,72.0,11,hit_base,True,0,4,False,24.84,5.81,,,,,72.82
AVGO,2026-06-16,up,distribution,distribution,,63.0,69.0,markup_continuation,388.705,586.99,68.0,11,in_flight,False,,,False,8.3,6.67,2026-06-25,-4.7,6,-4.7,370.33
BABA,2026-06-16,down,redistribution,redistribution,,70.0,88.0,"sow_breakdown_short, markdown_continuation",109.51,175.81,65.0,11,,,,,,0.98,16.0,,,,,121.98
CRM,2026-06-16,down,accumulation,accumulation,,62.0,68.0,"sow_breakdown_short, markdown_continuation",160.25,227.5,70.0,11,,,,,,4.34,8.69,,,,,182.85
GILT,2026-06-16,down,reaccumulation,distribution,,70.0,88.0,"sow_breakdown_short, markdown_continuation",13.56,26.96,68.0,11,,,,,,3.24,15.12,,,,,16.15
RR,2026-06-16,down,markup,accumulation,,59.0,61.0,markdown_continuation,2.1,3.36,70.0,11,,,,,,6.67,13.81,2026-06-17,-2.86,1,,3.39
ZM,2026-06-16,up,distribution,distribution,,67.0,80.0,markup_continuation,91.6,128.71,68.0,11,stopped,False,,5,False,10.19,0.0,2026-06-22,-7.93,3,-7.93,95.36
AMZN,2026-06-17,down,markup,distribution,,55.0,50.0,"sow_breakdown_short, markdown_continuation",240.12,301.93,68.0,10,,,,,,3.99,6.07,2026-06-24,3.37,4,,262.64
HAL,2026-06-17,down,reaccumulation,distribution,,55.0,50.0,"sow_breakdown_short, markdown_continuation",36.015,48.63,68.0,10,,,,,,0.0,9.51,2026-07-02,,,,39.78
META,2026-06-17,down,ranging_undefined,distribution,,63.0,69.0,"sow_breakdown_short, markdown_continuation",572.82,772.4,68.0,10,,,,,,9.68,5.7,,,,,612.49
NOW,2026-06-17,down,markup,accumulation,,62.0,68.0,markdown_continuation,95.31,127.76,70.0,10,,,,,,12.98,6.21,2026-06-23,1.37,3,,139.2
ORCL,2026-06-17,down,markup,distribution,,55.0,50.0,"sow_breakdown_short, markdown_continuation",183.01,276.5,68.0,10,,,,,,2.72,24.14,,,,,236.43
RGC,2026-06-17,down,reaccumulation,distribution,,73.0,95.0,"sow_breakdown_short, markdown_continuation",14.55,48.88,68.0,10,,,,,,2.06,60.14,,,,,22.15
RR,2026-06-17,up,markdown,accumulation,,55.0,50.0,"sos_breakout_long, markup_continuation",2.16,3.36,70.0,10,stopped,False,,3,False,16.2,3.7,2026-06-18,-2.78,1,-2.78,2.36
WDAY,2026-06-17,down,markup,accumulation,,62.0,68.0,markdown_continuation,119.492,167.37,70.0,10,,,,,,14.64,6.69,2026-06-24,3.11,4,,158.64
APPN,2026-06-18,down,redistribution,redistribution,,62.0,68.0,"sow_breakdown_short, markdown_continuation",20.44,31.89,65.0,9,,,,,,20.6,4.75,2026-07-01,-16.44,8,,25.15
ASTS,2026-06-18,down,markup,accumulation,,62.0,68.0,markdown_continuation,79.664,144.87,70.0,9,,,,,,15.25,20.01,2026-06-19,0.0,0,,133.86
SHEL,2026-06-18,down,reaccumulation,distribution,,69.0,84.0,"sow_breakdown_short, markdown_continuation",79.45,100.4,68.0,9,,,,,,0.68,4.02,,,,,84.96
